director_name,cast_members,collaboration_count,average_rating
"John G. Avildsen","Burt Young",2,9.0000
"John G. Avildsen","Sylvester Stallone",2,9.0000
"John G. Avildsen","Talia Shire",2,9.0000
"Chad Van De Keere","Ray Liotta",2,9.0000
"Chad Van De Keere","Matthew Lillard",2,9.0000
"Chad Van De Keere","Emilio Estevez",2,9.0000
"Chad Van De Keere","Ariel Winter",2,9.0000
"Steven Spielberg","Karen Allen",2,9.0000
"Steven Spielberg","John Rhys-Davies",2,9.0000
"Steven Spielberg","Denholm Elliott",2,9.0000
"Michael D. Black","Fred Tatasciore",2,9.0000
"Phil Weinstein","Maurice LaMarche",2,9.0000
"Phil Weinstein","Jodi Benson",2,9.0000
"Phil Weinstein","Charles Fleischer",2,9.0000
"Robert Vince","Mackenzie Sol",2,8.5000
"Apoorva Lakhia","Shabbir Ahluwalia",2,8.5000
"Apoorva Lakhia","Sunil Shetty",2,8.5000
"Apoorva Lakhia","Vivek Oberoi",2,8.5000
"Sooraj R. Barjatya","Reema Lagoo",2,8.5000
"Sam Raimi","J.K. Simmons",2,8.0000
"Sam Raimi","Rosemary Harris",2,8.0000
"Shlok Sharma","Shweta Tripathi",2,8.0000
"Terry Gilliam","Johnny Depp",2,8.0000
"Sylvester Stallone","Burgess Meredith",2,8.0000
"Sudhir Mishra","Chitrangada Singh",2,8.0000
"Ryan Polito","John Mulaney",2,8.0000
"Rian Johnson","Joseph Gordon-Levitt",2,8.0000
"Rian Johnson","Noah Segan",2,8.0000
"Robb Wells","Jacob Rolfe",2,8.0000
"Robb Wells","Marguerite McNeil",2,8.0000
"Robert Rodriguez","Alan Cumming",2,8.0000
"Robert Rodriguez","Antonio Banderas",2,8.0000
"Robert Rodriguez","Carla Gugino",2,8.0000
"Robert Rodriguez","Cheech Marin",2,8.0000
"Robert Rodriguez","Ricardo Montalban",2,8.0000
"Robert Vince","David Milchard",2,8.0000
"Joram Lürsen","Jacob Derwig",2,8.0000
"Isaac Ezban","Humberto Busto",2,8.0000
"John Paul Tremblay","Marguerite McNeil",2,8.0000
"John Paul Tremblay","Jacob Rolfe",2,8.0000
"James Wan","Patrick Wilson",2,8.0000
"Zoe Berriatúa","Macarena Gómez",2,8.0000
